:(Mode)update
:(EngineeringUnit)Unit	DefaultTagRate	IntegralDivisor	
Amp	10000	1
COUNTS	10000	1
BAR	10000	1
C	10000	1
Vdc	10000	1
°C	10000	1
Bar	10000	1
Sm3/h	10000	3600
Kgf/cm2	10000	1
Kg/h	10000	3600
Nm3/h	10000	3600
m3/h	10000	3600
mm	10000	1
kg/cm2	10000	1
%	10000	1
ppmH2O	10000	1
KCal/Nm3	10000	1
MOL%	10000	1
M	10000	1
V	10000	1
Kg/cm2	10000	1
m3/jour	10000	86400
-	10000	1
kVA	10000	1
min	10000	60
Nm3/min	10000	60
H_Min	10000	1
Nm3/j	10000	86400
Nm3	10000	1
:(AnalogTag)TagName	Description	IOServerComputerName	IOServerAppName	TopicName	ItemName	AcquisitionType	StorageType	AcquisitionRate	StorageRate	TimeDeadband	SamplesInAI	AllMode	EngUnits	MinEU	MaxEU	MinRaw	MaxRaw	Scaling	RawType	IntegerSize	Sign	ValueDeadband	InitialValue	CurrentEditor	RateDeadband	InterpolationType	RolloverValue	ServerTimeStamp	DeadbandType	
PA2-N2-HR101	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-N2-HR101	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-N2-HR101	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	°C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-N2-HR101	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-N2-HR101	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-N2-HR101	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	10.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-N2-HR101	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-40.000000	75.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-N2-HR102	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-N2-HR102	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-N2-HR102	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-N2-HR102	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-N2-HR102	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-N2-HR102	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	°C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-N2-HR102	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-N2-HR102	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-N2-HR102	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	10.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-N2-HR102	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-40.000000	75.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-N2-HR103	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-N2-HR103	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-N2-HR103	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-N2-HR103	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-N2-HR103	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-N2-HR103	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	°C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-N2-HR103	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-N2-HR103	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-N2-HR103	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	10.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-N2-HR103	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-40.000000	75.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-N2-HR104	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-N2-HR104	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-N2-HR104	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-N2-HR104	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-N2-HR104	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-N2-HR104	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	°C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-N2-HR104	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-N2-HR104	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	10.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-N2-HR104	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-40.000000	75.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-N2-HR105	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-N2-HR105	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-N2-HR105	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-N2-HR105	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-N2-HR105	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-N2-HR105	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	°C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-N2-HR105	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-N2-HR105	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	10.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-N2-HR105	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-40.000000	75.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-N3-HR106	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	10.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-N3-HR106	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-N3-HR106	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-N3-HR106	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-N3-HR106	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-N3-HR106	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-N3-HR106	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	°C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-N3-HR106	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-N3-HR106	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-N3-HR106	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-40.000000	75.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-N5-HR107	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-N5-HR107	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-N5-HR107	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-N5-HR107	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-N5-HR107	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	350.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-N5-HR107	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	°C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-N5-HR107	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-N5-HR107	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	10.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-N5-HR107	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-40.000000	75.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-N2-HR108	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-N2-HR108	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-N2-HR108	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-N2-HR108	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-N2-HR108	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-N2-HR108	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	°C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-N2-HR108	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-N2-HR108	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	10.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-N2-HR108	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-40.000000	75.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-N2-HR109	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-N2-HR109	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-N2-HR109	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	0.500000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-N2-HR109	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-N2-HR109	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-N2-HR109	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	°C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-N2-HR109	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-N2-HR109	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	10.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-N2-HR109	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-40.000000	75.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
CB-E4-HR11	Courant de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Amp	0.000000	6.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA1-E4-HR11	Pression Annulaire 1 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PA2-E4-HR11	Pression Annulaire 2 du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PD-E4-HR11	Pression Differentielle	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	1.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PL-E4-HR11	Pression de Ligne du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
PT-E4-HR11	Pression de Tete du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	BAR	0.000000	200.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT-E4-HR11	Temperature Gaz du Puits	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-15.000000	120.000000	800	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
TT1-E4-HR11	Temperature de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	C	-30.000000	70.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB-E4-HR11	Voltage de la Batterie	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VB1-E4-HR11	Voltage de la Cabine	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	30.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
VP-E4-HR11	Voltage des Panneaux Solaires	$local	InSQL_MDAS	MDAS		Manual	Forced	0	10000	0	0	All	Vdc	0.000000	46.000000	0	4000	None	MSFloat	0		0	0	0	0	System Default	0	No	TimeValue
